FinalIDassigned,BCG,BCG12,BCG45,Habitat,SPIspecies,SPIspecies12,SPIspecies45,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,NitrogenUptakeMetabolism2,OxygenRequirements,Salinity,Salinity2,Saprobity,TrophicState,Zygnemataceae,ZHR,CRUS,Green,Phylum,Class,Order,Family,Genus
Achnanthidium deflexum,2,yes,,BN,,,,,,,,low,low,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium eutrophilum,,,,,3,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium exiguum,4,,yes,BN,,,,,,,,high,high,NM,NAHON,NAHON,DO_100,FB,FB,BM,I,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium exiguum var heterovalvum,4,,yes,BN,,,,,,,,high,high,NM,NAHON,NAHON,DO_100,FB,FB,BM,I,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium gracillimum,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium jackii,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium kranzii,,,,,5,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium macrocephalum,,,,BN,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium microcephalum,,,,BN,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium minutissimum,3,,,BN,5,,yes,,,,,low,low,NM,NAHON,NAHON,DO_100,FB,FB,BM,I,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium minutissimum var affinis,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium minutissimum var gracillima,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium pyrenaicum,,,,BN,5,,yes,,,,,,,NM,,,,FB,FB,,M,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium reimeri,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium rivulare,2,yes,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium subatomus,,,,BN,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium subhudsonis,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium subsalsum,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Achnanthidium thienemannii,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium
Actinastrum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Actinastrum
Actinastrum hantzschii,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Actinastrum
Actinocyclus,,,,,2,yes,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaeae,Actinocyclus
Actinocyclus normanii,,,,,2,yes,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaeae,Actinocyclus
Actinotaenium,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Actinotaenium
Actinotaenium colpopelta,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Actinotaenium
Adlafia,,,,BN,5,,yes,,,,,low,low,MM,,,,F,F,BM,O,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia
Adlafia bryophila,2,yes,,BN,5,,yes,,,,,high,,MM,NALON,NALON,DO_100,F,F,OS,M,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia
Adlafia minuscula,3,,,BN,3,,,,,,,low,low,MM,,,,F,F,BM,O,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia
Adlafia minuscula var muralis,4,,yes,BN,2,yes,,,,,,,,MM,NHHONF,Heterotroph,DO_50,FB,FB,AMPS,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia
Adlafia suchlandtii,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia
Amphicampa,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Amphicampa
Amphicampa eruca,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Amphicampa
Amphipleura,,,,BN,4.5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura
Amphipleura pellucida,3,,,BN,5,,yes,,,,,low,low,MM,NAHON,NAHON,DO_75,FB,FB,AMPS,OM,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura
Amphora,,,,BN,2.6,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora aequalis,,,,BN,2,yes,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora affinis,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora copulata,4,,yes,BN,4,,yes,,,,,high,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora copulatoides,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora inariensis,3,,,BN,5,,yes,,,,,,,MM,,,,FB,FB,,O,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora indistincta,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora libyca,4,,yes,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora minutissima,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora ovalis,4,,yes,BN,3,,,,,,,high,,MM,NAHON,NAHON,DO_75,FB,FB,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora pediculus,4,,yes,BN,4,,yes,,,,,high,high,MM,NAHON,NAHON,DO_75,FB,FB,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora perpusilla,4,,yes,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Amphora stoermerii,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora
Anabaena,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena aequalis,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena californica,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena catenula,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena cylindrica,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena felisii,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena inaequalis,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena iyengarii,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena lapponica,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena oscillarioides,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena planctonica,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena portoricensis,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena saaremaaensis,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena sphaerica,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena subcylindrica,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena variabilis,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaenopsis,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaenopsis
Anabaenopsis elenkinii,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaenopsis
Aneumastus,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Aneumastus
Aneumastus tuscula,,,,BN,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Aneumastus
Ankistrodesmus,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus
Ankistrodesmus falcatus,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus
Ankistrodesmus fusiformis,3,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus
Ankistrodesmusiralis,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus
Anomoeoneis,,,,BN,3.6,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Anomoeoneidaceae,Anomoeoneis
Anomoeoneis costata,,,,BN,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Anomoeoneidaceae,Anomoeoneis
Anomoeoneishaerophora,,,,BN,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Anomoeoneidaceae,Anomoeoneis
Anomoeoneishaerophora var sculpta,,,,BN,,,,,,,,,,,,,,B,Halo,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Anomoeoneidaceae,Anomoeoneis
Apatococcus,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Apatococcus
Apatococcus lobatus,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Apatococcus
Aphanizomenon,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon
Aphanizomenon flos-aquae,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon
Aphanocapsa,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa delicatissima,4,,yes,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa elachista,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa grevillei,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa holsatica,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa hyalina,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa incerta,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa parasitica,3,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa planctonica,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa rivularis,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanochaete,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Chaetophorales,Aphanochaetaceae,Aphanochaete
Aphanochaete polychaete,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Chaetophorales,Aphanochaetaceae,Aphanochaete
Aphanochaete repens,3,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Chaetophorales,Aphanochaetaceae,Aphanochaete
Aphanothece,,,,,,,,,,,,low,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Aphanothece caldariorum,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Aphanothece clathrata,3,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Aphanothece elabens,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Aphanothece floccosa,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Aphanothece minutissima,3,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Aphanothece nebulosa,2,yes,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Aphanothece nidulans,3,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Aphanothece saxicola,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Aphanothece stagnina,3,,,,,,,,,,,low,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Apiocystis,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Tetrasporales,Tetrasporaceae,Apiocystis
Apiocystis brauniana,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Tetrasporales,Tetrasporaceae,Apiocystis
Ardissonea,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Mediophyceae,Toxariales,Ardissoneaceae,Ardissonea
Ardissonea cuneata,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Mediophyceae,Toxariales,Ardissoneaceae,Ardissonea
Arthrospira,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Arthrospira
Arthrospira corkiana,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Arthrospira
Astartiella,,,,BN,2,yes,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Astartiella
Astartiella bahusiensis,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Astartiella
Astartiella bremeyeri,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Astartiella
Asterionella,,,,P,3.4,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Asterionella
Asterionella formosa,3,,,P,4,,yes,,,,,high,,NM,NAHON,NAHON,DO_75,FB,FB,BM,ME,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Asterionella
Asterococcus,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellopsidaceae,Asterococcus
Asterococcus limneticus,3,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellopsidaceae,Asterococcus
Audouinella,,,,,,,,,,,,,,,,,,,,,,,yes,,,Rhodophyta,Florideophyceae,Acrochaetiales,Acrochaetiaceae,Audouinella
Audouinella hermannii,,,,,,,,,,,,,,,,,,,,,,,yes,,,Rhodophyta,Florideophyceae,Acrochaetiales,Acrochaetiaceae,Audouinella
Aulacoseira,,,,P,4.7,,yes,,,,,,,NM,NAHON,NAHON,DO_75,FB,FB,BM,ME,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira alpigena,3,,,P,4,,yes,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,O,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira ambigua,3,,,P,3,,,,,,,,,NM,NAHON,NAHON,DO_50,FB,FB,BM,E,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira canadensis,,,,P,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira crassipunctata,,,,P,4,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira crenulata,3,,,P,4.5,,yes,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,O,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira distans,,,,P,4.6,,yes,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,O,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira granulata,5,,yes,P,2.9,,,,,,,high,high,NM,NAHON,NAHON,DO_50,FB,FB,BM,E,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira granulata var angustissima,,,,P,2.8,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira islandica,,,,P,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira italica,3,,,P,3.7,,,,,,,,,NM,NAHON,NAHON,DO_75,FB,FB,BM,ME,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira italica var tenuissima,,,,P,4,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira lirata,,,,P,4,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira muzzanensis,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
Aulacoseira nivalis,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira
